trait,avg_rating,rank,rating_sd,number_ratings,character
cryptic (not straightforward),84.7,12,21.5,277,Melisandre
cat person (not dog person),84.5,61,24.3,51,Melisandre
never cries (not often crying),84.5,138,16.3,28,Melisandre
self-disciplined (not disorganized),84.4,388,17.2,232,Melisandre
humorless (not funny),84.4,47,19.6,286,Melisandre
mischievous (not well behaved),84.3,284,20.9,286,Melisandre
indie (not pop),84.2,79,17.3,36,Melisandre
coordinated (not clumsy),84.1,317,19.4,296,Melisandre
conspiracist (not sheeple),84.1,116,20.7,179,Melisandre
metaphorical (not literal),84,10,20.3,248,Melisandre
high IQ (not low IQ),83.7,510,16.9,231,Melisandre
fantastical (not realistic),83.5,98,21.1,33,Melisandre
ferocious (not pacifist),83.4,236,19.7,252,Melisandre
hard (not soft),83.4,169,17.5,267,Melisandre
suspicious (not awkward),83.3,134,18.7,271,Melisandre
wild (not tame),83.1,278,21.2,259,Melisandre
eloquent (not unpolished),83,209,21.9,247,Melisandre
strict (not lenient),82.8,183,20.9,241,Melisandre
studious (not goof-off),82.7,353,20,62,Melisandre
salacious (not wholesome),82.7,132,22.9,44,Melisandre
assertive (not passive),82.6,350,21.6,248,Melisandre
resourceful (not helpless),82.6,509,18.5,95,Melisandre
authoritarian (not democratic),82.5,143,21.6,231,Melisandre
philosophical (not real),82.5,11,20.5,204,Melisandre
🧠 (not 💪),82.5,333,18.5,46,Melisandre
sexual (not asexual),82.5,310,26.2,23,Melisandre
experimental (not reliable),82.3,106,16.9,24,Melisandre
alert (not oblivious),82.2,276,16.1,66,Melisandre
perceptive (not unobservant),82.2,532,21.4,39,Melisandre
sorrowful (not cheery),82.1,119,16.9,255,Melisandre
specialist (not generalist),82,55,20.7,87,Melisandre
celebrity (not boy/girl-next-door),82,137,21.9,44,Melisandre
old (not young),81.8,162,23,250,Melisandre
genocidal (not not genocidal),81.5,81,21.5,41,Melisandre
creative (not conventional),81.4,188,22.8,257,Melisandre
hard (not soft),81.4,206,16.3,89,Melisandre
🎩 (not 🧢),81.4,257,22.9,52,Melisandre
arrogant (not humble),81.3,309,20,276,Melisandre
charming (not trusting),81.2,101,17.6,265,Melisandre
exhibitionist (not bashful),81.2,126,18.3,38,Melisandre
extravagant (not thrifty),81.2,192,22.3,31,Melisandre
gloomy (not sunny),80.9,192,23.7,23,Melisandre
cunning (not honorable),80.8,178,21.1,282,Melisandre
workaholic (not slacker),80.7,650,20.8,100,Melisandre
👻 (not 🤖),80.6,53,26,39,Melisandre
lustful (not chaste),80.5,190,21.3,253,Melisandre
thick-skinned (not sensitive),80.5,73,21,238,Melisandre
poisonous (not nurturing),80.5,205,20,121,Melisandre
two-faced (not one-faced),80.5,145,25.2,25,Melisandre
radical (not centrist),80.5,93,23.1,43,Melisandre
beautiful (not ugly),80.4,740,21.5,74,Melisandre
open to new experinces (not uncreative),80.2,398,24,255,Melisandre
obsessed (not aloof),80,197,24.5,243,Melisandre
demonic (not angelic),79.8,185,18.9,273,Melisandre
stylish (not slovenly),79.8,333,23.8,224,Melisandre
self-assured (not self-conscious),79.8,236,27.5,248,Melisandre
cocky (not timid),79.8,495,20.6,52,Melisandre
flamboyant (not modest),79.7,223,23.3,262,Melisandre
confident (not insecure),79.7,413,26.1,264,Melisandre
bitter (not sweet),79.6,216,17.2,247,Melisandre
scandalous (not proper),79.6,259,22.8,243,Melisandre
pretentious (not unassuming),79.6,228,24.9,46,Melisandre
perverted (not clean),79.6,129,21.5,34,Melisandre
pointed (not random),79.5,443,23.7,31,Melisandre
overachiever (not underachiever),79.5,561,23.4,35,Melisandre
narcissistic (not low self esteem),79.4,294,22.5,46,Melisandre
fearmongering (not reassuring),79.4,161,21.2,36,Melisandre
jaded (not innocent),79.2,381,26.4,45,Melisandre
mighty (not puny),79,403,19.9,279,Melisandre
🤺 (not 🏌),79,394,24.4,48,Melisandre
ivory-tower (not blue-collar),78.9,182,22.9,242,Melisandre
alpha (not beta),78.9,485,25.5,256,Melisandre
miserable (not joyful),78.8,225,18.4,50,Melisandre
outsider (not insider),78.6,95,26.9,213,Melisandre
active (not slothful),78.5,696,21.6,259,Melisandre
street-smart (not sheltered),78.5,406,21.8,239,Melisandre
🦄 (not 🐴),78.5,166,27.8,45,Melisandre
haunted (not blissful),78.5,352,23.7,40,Melisandre
💀 (not 🎃),78.4,179,27.6,39,Melisandre
poetic (not factual),78.3,75,17,35,Melisandre
bookish (not sporty),78.3,518,20.6,233,Melisandre
zany (not regular),78.2,255,28.9,50,Melisandre
debased (not pure),78.1,237,24.1,247,Melisandre
suspicious (not trusting),78.1,323,24.4,264,Melisandre
head@clouds (not down2earth),77.8,193,27.3,251,Melisandre
psychopath (not empath),77.8,227,26.6,37,Melisandre
armoured (not vulnerable),77.7,329,22.1,266,Melisandre
master (not apprentice),77.7,532,25.5,122,Melisandre
cold (not warm),77.4,239,24.4,286,Melisandre
opinionated (not neutral),77.3,817,24.9,32,Melisandre
flirtatious (not prudish),77,334,26.6,39,Melisandre
highbrow (not lowbrow),76.8,215,22.4,223,Melisandre
rock (not rap),76.8,495,26.8,46,Melisandre
😈 (not 😇),76.7,305,21.5,50,Melisandre
crazy (not sane),76.6,264,25.5,46,Melisandre
rhythmic (not stuttering),76.6,453,20.8,34,Melisandre
masochistic (not pain-avoidant),76.6,79,24.1,32,Melisandre
historical (not modern),76.5,206,24.6,177,Melisandre
unorthodox (not traditional),76.5,367,31.2,96,Melisandre
punk rock (not preppy),76.5,272,23.4,42,Melisandre
transient (not permanent),76.4,40,28.1,98,Melisandre
winter (not summer),76.2,237,31.3,44,Melisandre
hipster (not basic),76,115,23.7,254,Melisandre
backdoor (not official),76,238,26.7,257,Melisandre
exaggerating (not factual),76,315,23.4,26,Melisandre
idealist (not realist),75.7,196,26.5,96,Melisandre
badass (not weakass),75.7,789,28.2,35,Melisandre
biased (not impartial),75.6,327,28.7,248,Melisandre
sad (not happy),75.6,293,16.9,240,Melisandre
mature (not juvenile),75.3,417,27,85,Melisandre
go-getter (not slugabed),75.3,803,29,46,Melisandre
guarded (not open),75.2,671,25.8,295,Melisandre
vengeful (not forgiving),75.1,398,23.2,273,Melisandre
cannibal (not vegan),75.1,275,29.9,34,Melisandre
abstract (not concrete),75,139,27.8,54,Melisandre
knowledgeable (not ignorant),74.9,669,26.3,29,Melisandre
mad (not glad),74.6,352,20.6,41,Melisandre
entitled (not grateful),74.6,383,27.7,38,Melisandre
cruel (not kind),74.5,209,19.4,255,Melisandre
vain (not demure),74.4,323,26.1,253,Melisandre
devout (not heathen),74.2,190,32.7,257,Melisandre
proactive (not reactive),74.2,32,24,31,Melisandre
dramatic (not no-nonsense),74.1,343,28.9,140,Melisandre
outlaw (not sheriff),74,428,26.9,257,Melisandre
animalistic (not human),74,85,23.1,245,Melisandre
playful (not shy),73.9,668,21.9,258,Melisandre
quarrelsome (not warm),73.8,431,23.9,255,Melisandre
🥴 (not 🥳),73.8,198,23.4,58,Melisandre
punchable (not loveable),73.8,232,23,44,Melisandre
pro (not noob),73.7,787,24.8,39,Melisandre
competitive (not cooperative),73.7,598,26.4,265,Melisandre
deranged (not reasonable),73.7,278,25.4,64,Melisandre
prideful (not envious),73.6,492,28,39,Melisandre
spelunker (not claustrophobic),73.4,213,28.9,23,Melisandre
queen (not princess),73.4,532,23.6,42,Melisandre
ambitious (not realistic),73.2,430,27.8,33,Melisandre
frenzied (not sleepy),73.1,645,21.7,31,Melisandre
vintage (not trendy),72.8,637,25.7,35,Melisandre
charismatic (not uninspiring),72.6,814,26.7,249,Melisandre
lavish (not frugal),72.6,328,26.3,234,Melisandre
metrosexual (not macho),72.5,332,24.7,43,Melisandre
anarchist (not statist),72.4,286,27.4,64,Melisandre
devoted (not unfaithful),72.3,1134,35,27,Melisandre
stubborn (not accommodating),71.8,816,32.4,43,Melisandre
instinctual (not reasoned),71.7,449,30.1,279,Melisandre
picky (not always down),71.6,349,21.9,54,Melisandre
calm (not anxious),71.4,210,25,230,Melisandre
chic (not cheesy),71.4,280,27.4,45,Melisandre
chosen one (not everyman),71.2,339,27.9,41,Melisandre
exuberant (not subdued),71.2,451,27.9,25,Melisandre
refined (not rugged),71.1,505,28.6,276,Melisandre
judgemental (not accepting),71.1,452,28.5,204,Melisandre
avant-garde (not classical),71.1,206,27.7,89,Melisandre
🙅‍♂️ (not 🙋‍♂️),71,203,29.7,63,Melisandre
👨‍⚕️ (not 👨‍🔧),71,408,28.1,46,Melisandre
genius (not dunce),70.9,698,22.3,264,Melisandre
resolute (not wavering),70.9,612,29.2,65,Melisandre
freelance (not corporate),70.8,614,29.9,27,Melisandre
sturdy (not flimsy),70.6,707,28.8,22,Melisandre
gendered (not androgynous),70.6,1168,32,134,Melisandre
artistic (not scientific),70.5,405,27.9,244,Melisandre
scheduled (not spontaneous),70.4,603,29.2,257,Melisandre
nerd (not jock),70.4,654,25.7,247,Melisandre
charming (not awkward),70.2,649,28.8,252,Melisandre
😭 (not 😀),70.1,246,23.4,57,Melisandre
crafty (not scholarly),70.1,562,29,244,Melisandre
analysis (not common sense),70,402,25.4,44,Melisandre
stoic (not hypochondriac),69.9,392,34.9,40,Melisandre
bad boy (not white knight),69.8,389,26.7,31,Melisandre
hoarder (not unprepared),69.7,377,22.8,208,Melisandre
f***-the-police (not tattle-tale),69.7,714,31.6,40,Melisandre
tense (not relaxed),69.5,979,26.2,261,Melisandre
introspective (not not introspective),69.5,559,27.6,61,Melisandre
tight (not loose),69.5,683,25.7,33,Melisandre
quirky (not predictable),69.4,351,27.7,52,Melisandre
political (not nonpolitical),69.3,465,33.2,242,Melisandre
imaginative (not practical),69.3,301,29.2,228,Melisandre
literary (not mathematical),69.3,457,30.1,226,Melisandre
angry (not good-humored),69.2,338,22.9,228,Melisandre
adventurous (not stick-in-the-mud),69.2,655,29.6,222,Melisandre
creepy (not disarming),69.2,184,27.8,119,Melisandre
unemotional (not emotional),69.2,158,29.6,31,Melisandre
antagonist (not protagonist),69.1,219,26.4,35,Melisandre
feminist (not sexist),69,878,26.4,68,Melisandre
interested (not bored),69,745,28,27,Melisandre
interesting (not tiresome),68.9,801,28,270,Melisandre
businesslike (not chivalrous),68.9,430,30.1,45,Melisandre
OCD (not ADHD),68.9,638,28.6,19,Melisandre
bourgeoisie (not proletariat),68.8,404,29.8,195,Melisandre
ranged (not melee),68.4,199,31.8,48,Melisandre
intellectual (not physical),68.4,772,30,264,Melisandre
feisty (not gracious),68.4,774,27.6,224,Melisandre
👽 (not 🤡),68.4,363,34.4,35,Melisandre
child free (not pronatalist),68.3,594,31.7,240,Melisandre
money-focused (not love-focused),68.3,317,33,23,Melisandre
German (not English),68.2,40,28.2,36,Melisandre
cool (not dorky),68.1,576,23.6,50,Melisandre
ludicrous (not sensible),68,337,28.9,265,Melisandre
paranoid (not naive),68,527,27.2,52,Melisandre
unfixable (not fixable),67.9,265,28,43,Melisandre
chortling (not giggling),67.9,578,31.8,26,Melisandre
contrarian (not yes-man),67.8,572,28.1,31,Melisandre
enlightened (not lost),67.6,316,29.6,45,Melisandre
works hard (not plays hard),67.5,843,29.9,226,Melisandre
competent (not incompetent),67.4,1197,25.8,223,Melisandre
chaotic (not orderly),67.3,542,29.9,272,Melisandre
Russian (not French),67.3,203,32.8,34,Melisandre
stoic (not expressive),67.2,345,29.3,248,Melisandre
offended (not chill),67.1,577,33.4,46,Melisandre
reserved (not chatty),66.8,553,26.3,263,Melisandre
cultured (not rustic),66.7,639,30.8,54,Melisandre
barbaric (not civilized),66.6,284,26.1,262,Melisandre
rigid (not flexible),66.6,548,29.4,254,Melisandre
tall (not short),66.5,655,22.2,260,Melisandre
villainous (not heroic),66.4,284,24.2,279,Melisandre
deep (not shallow),66.4,724,28.4,63,Melisandre
💔 (not 💝),66.4,375,28.2,65,Melisandre
🤫 (not 🤔),66.3,149,32.5,52,Melisandre
frank (not sugarcoated),66.3,1035,32.5,34,Melisandre
👩‍🎤 (not 👩‍🔬),66.2,600,34.3,54,Melisandre
cynical (not gullible),66.1,766,27.2,37,Melisandre
attractive (not repulsive),66,1116,31.3,248,Melisandre
stingy (not generous),65.8,383,28.4,38,Melisandre
opinionated (not jealous),65.8,1004,31.4,45,Melisandre
distant (not touchy-feely),65.8,630,31.1,48,Melisandre
hypocritical (not equitable),65.7,424,27.3,107,Melisandre
profound (not ironic),65.6,310,27,30,Melisandre
private (not gregarious),65.5,781,31.1,267,Melisandre
important (not irrelevant),65.5,1308,28.9,81,Melisandre
🙃 (not 🥰),65.5,429,31.9,84,Melisandre
slow-talking (not fast-talking),65.5,240,27.6,51,Melisandre
on-time (not tardy),65.4,940,30.7,30,Melisandre
neat (not messy),65,855,29.8,170,Melisandre
resistant (not resigned),64.9,999,29.4,273,Melisandre
dry (not moist),64.9,409,30.8,28,Melisandre
wise (not foolish),64.9,676,25.3,297,Melisandre
reclusive (not social),64.7,493,27.8,66,Melisandre
self-destructive (not self-improving),64.7,575,28.6,36,Melisandre
patient (not impatient),64.5,368,33,124,Melisandre
🐩 (not 🐒),64.3,607,32.2,45,Melisandre
cosmopolitan (not provincial),64.1,518,32.2,227,Melisandre
hunter (not gatherer),64,738,34.9,43,Melisandre
independent (not codependent),63.9,900,36.2,280,Melisandre
luddite (not technophile),63.8,424,34.2,184,Melisandre
oxymoron (not tautology),63.8,318,28.9,31,Melisandre
vague (not precise),63.6,213,31.8,181,Melisandre
pensive (not serene),63.6,1031,30.8,34,Melisandre
🥵 (not 🥶),63.6,578,34,31,Melisandre
whimsical (not rational),63.2,488,32,255,Melisandre
rich (not poor),63.1,829,26.8,253,Melisandre
natural-talent (not hard-work),63.1,278,33.8,35,Melisandre
overspender (not penny-pincher),63,473,30.4,63,Melisandre
queer (not straight),62.8,248,29.8,110,Melisandre
utilitarian (not decorative),62.8,829,28.7,90,Melisandre
side character (not main character),62.7,698,34.7,15,Melisandre
lewd (not tasteful),62.6,344,28.8,229,Melisandre
vibrant (not geriatric),62.5,1012,32.1,54,Melisandre
fast (not slow),62.3,1094,28.6,233,Melisandre
involved (not remote),62.2,1121,30.4,244,Melisandre
eastern (not western),62.1,116,32,63,Melisandre
🚴 (not 🏋️‍♂️),62.1,1099,33.7,37,Melisandre
🤐 (not 😜),62.1,671,32.5,36,Melisandre
moody (not stable),61.9,982,32.3,263,Melisandre
rebellious (not obedient),61.8,946,34.4,232,Melisandre
gamer (not non-gamer),61.8,416,34.1,24,Melisandre
musical (not off-key),61.6,457,30.8,54,Melisandre
thin (not thick),61.5,825,31.1,199,Melisandre
theoretical (not empirical),61.4,181,34.3,232,Melisandre
city-slicker (not country-bumpkin),61.4,1079,32.6,50,Melisandre
🤑 (not 🤠),61.1,507,32.1,37,Melisandre
privileged (not oppressed),60.9,1045,26.5,40,Melisandre
forward-thinking (not stuck-in-the-past),60.9,710,37.4,36,Melisandre
purple (not orange),60.7,556,35.3,228,Melisandre
indulgent (not sober),60.6,754,33,247,Melisandre
industrial (not domestic),60.5,605,31.6,70,Melisandre
Pepsi (not Coke),60.3,273,32.9,32,Melisandre
emancipated (not enslaved),60.2,1089,32,281,Melisandre
valedictorian (not drop out),60.2,1077,31,53,Melisandre
soulless (not soulful),60.1,321,34.5,84,Melisandre
fighter (not lover),60.1,715,27.1,35,Melisandre
receiving (not giving),60.1,533,30.2,56,Melisandre
existentialist (not nihilist),60,874,34.9,82,Melisandre
🧐 (not 😎),60,605,34.5,55,Melisandre
dispassionate (not romantic),59.7,340,32.5,28,Melisandre
air (not earth),59.5,301,33.7,22,Melisandre
brave (not careful),59.3,1032,29.7,243,Melisandre
circular (not linear),59.3,488,31.8,31,Melisandre
sage (not whippersnapper),59.3,568,35.6,41,Melisandre
curious (not apathetic),59.2,1202,32,264,Melisandre
repetitive (not varied),59.1,792,31.3,100,Melisandre
insulting (not complimentary),59,647,28.9,65,Melisandre
tailor (not blacksmith),59,988,29.6,30,Melisandre
subjective (not objective),58.9,551,33.7,80,Melisandre
individualist (not communal),58.9,929,36.1,77,Melisandre
🐀 (not 🐘),58.9,611,33,77,Melisandre
extrovert (not introvert),58.8,885,32.3,250,Melisandre
selfish (not altruistic),58.8,649,29.2,249,Melisandre
monochrome (not multicolored),58.7,709,36.5,91,Melisandre
🥾 (not 👟),58.5,695,31.9,57,Melisandre
epic (not deep),58.4,634,31,28,Melisandre
sickly (not healthy),58.3,345,29.5,231,Melisandre
depressed (not bright),58.1,679,28.8,234,Melisandre
fortunate (not unlucky),58,618,27.3,243,Melisandre
disreputable (not prestigious),58,456,31,217,Melisandre
tactful (not indiscreet),57.8,1056,32.8,78,Melisandre
leisurely (not hurried),57.6,497,28.2,245,Melisandre
🧗 (not 🛌),57.5,1099,33,74,Melisandre
efficient (not overprepared),57.3,1268,32.1,40,Melisandre
rude (not respectful),57.2,601,27.6,249,Melisandre
smooth (not rough),57.1,780,30.3,237,Melisandre
Swedish (not Italian),56.9,673,33.2,28,Melisandre
confidential (not gossiping),56.8,1210,32.3,266,Melisandre
💃 (not 🧕),56.5,1123,37,82,Melisandre
legit (not scrub),56.5,1410,29.4,64,Melisandre
high standards (not desperate),56.5,1059,33.7,24,Melisandre
libertarian (not socialist),56.4,784,32.9,207,Melisandre
genuine (not sarcastic),56.4,877,31.7,234,Melisandre
🐮 (not 🐷),56.1,1017,34,89,Melisandre
optimistic (not pessimistic),55.9,817,30.1,270,Melisandre
patriotic (not unpatriotic),55.9,1283,35.3,53,Melisandre
cautious (not impulsive),55.8,832,30.3,274,Melisandre
roundabout (not direct),55.8,358,34.4,296,Melisandre
washed (not muddy),55.8,1116,34.3,41,Melisandre
😬 (not 😏),55.6,617,37.6,63,Melisandre
explorer (not builder),55.5,896,32.6,252,Melisandre
close-minded (not open-minded),55.5,589,33.6,254,Melisandre
wooden (not plastic),55.3,1336,34.1,36,Melisandre
bold (not serious),55.2,959,33.5,239,Melisandre
traitorous (not loyal),54.8,370,32.5,269,Melisandre
liberal (not conservative),54.8,1152,35.8,47,Melisandre
doer (not thinker),54.8,1204,32.1,34,Melisandre
neurotypical (not autistic),54.6,1484,32,251,Melisandre
stinky (not fresh),54.5,509,32.2,74,Melisandre
captain (not first-mate),54.4,907,35.8,253,Melisandre
hedonist (not monastic),54.2,954,37.9,47,Melisandre
twitchy (not still),54.1,1113,33.7,34,Melisandre
intimate (not formal),54,916,32.9,90,Melisandre
bad-cook (not good-cook),53.9,870,28.7,23,Melisandre
cringeworthy (not inspiring),53.7,681,30.2,95,Melisandre
traumatized (not flourishing),53.6,1267,32.7,44,Melisandre
consistent (not variable),53.4,1152,34.5,38,Melisandre
quiet (not loud),53.3,863,30.9,265,Melisandre
🐐 (not 🦒),53.2,1300,35,67,Melisandre
💩 (not 🌟),53.1,433,30.3,57,Melisandre
compersive (not jealous),52.5,926,30.5,214,Melisandre
rural (not urban),52.5,515,34.5,50,Melisandre
believable (not poorly-written),52.4,1850,23.7,31,Melisandre
treasure (not trash),52.2,1589,29.4,66,Melisandre
attentive (not interrupting),52,1028,30.2,34,Melisandre
long-winded (not concise),51.9,862,35.7,49,Melisandre
emotional (not logical),51.7,1079,34.4,260,Melisandre
triggered (not trolling),51.7,1383,31.1,36,Melisandre
egalitarian (not racist),51.5,1661,30.9,36,Melisandre
🤣 (not 😊),51.5,706,26.2,41,Melisandre
📈 (not 📉),51.5,1425,37.7,46,Melisandre
methodical (not astonishing),51.3,1202,34,262,Melisandre
low-tech (not high-tech),51.1,979,34.1,219,Melisandre
minimalist (not pack rat),51.1,1125,33,44,Melisandre
folksy (not presidential),51,891,34.2,38,Melisandre
Roman (not Greek),50.1,1129,32.3,30,Melisandre
'left-brained' (not 'right-brained'),50.3,1087,31.2,166,Melisandre
expressive (not monotone),50.6,1267,36.5,44,Melisandre
rich (not poor),95.2,57,9.6,279,Olenna Tyrell
badass (not weakass),95,49,10.9,41,Olenna Tyrell
intellectual (not physical),94.6,17,9.2,247,Olenna Tyrell
confident (not insecure),94,13,11.9,268,Olenna Tyrell
knowledgeable (not ignorant),93.8,30,12.7,41,Olenna Tyrell
pro (not noob),93.6,58,13,49,Olenna Tyrell
perceptive (not unobservant),93.3,49,10.1,36,Olenna Tyrell
bold (not shy),93,113,10.2,255,Olenna Tyrell
high IQ (not low IQ),93,119,9.2,229,Olenna Tyrell
resourceful (not helpless),92.8,59,11.3,107,Olenna Tyrell
dominant (not submissive),92.2,90,11.1,286,Olenna Tyrell
master (not apprentice),92.2,61,13.5,144,Olenna Tyrell
decisive (not hesitant),91.9,26,12.4,267,Olenna Tyrell
alpha (not beta),91.8,77,15.7,246,Olenna Tyrell
🧠 (not 💪),91.8,64,16.5,53,Olenna Tyrell
coordinated (not clumsy),91.5,80,13,263,Olenna Tyrell
self-disciplined (not disorganized),91.4,120,11.7,257,Olenna Tyrell
competent (not incompetent),91.4,134,13.9,260,Olenna Tyrell
political (not nonpolitical),91.3,28,15.5,244,Olenna Tyrell
persistent (not quitter),91.2,250,14.6,54,Olenna Tyrell
old (not young),91,29,17.9,330,Olenna Tyrell
driven (not unambitious),91,160,14.6,237,Olenna Tyrell
queen (not princess),90.8,63,18.5,39,Olenna Tyrell
independent (not codependent),90.6,41,18.5,298,Olenna Tyrell
never cries (not often crying),90.4,44,9.4,25,Olenna Tyrell
go-getter (not slugabed),90.3,56,11.5,50,Olenna Tyrell
motivated (not unmotivated),90.3,265,16.9,53,Olenna Tyrell
worldly (not innocent),90.2,28,12.8,274,Olenna Tyrell
diligent (not lazy),89.9,303,12.8,262,Olenna Tyrell
bossy (not meek),89.9,139,14.5,268,Olenna Tyrell
eloquent (not unpolished),89.2,65,17.8,243,Olenna Tyrell
street-smart (not sheltered),89,98,13.9,241,Olenna Tyrell
alert (not oblivious),89,71,11.5,39,Olenna Tyrell
genius (not dunce),88.9,98,13.8,312,Olenna Tyrell
cocky (not timid),88.5,183,10.3,42,Olenna Tyrell
wise (not foolish),88.4,55,17,270,Olenna Tyrell
spicy (not mild),88.4,73,14.8,264,Olenna Tyrell
thick-skinned (not sensitive),88.2,6,17.4,230,Olenna Tyrell
🎩 (not 🧢),88,97,18.7,42,Olenna Tyrell
deliberate (not spontaneous),87.8,70,19.8,254,Olenna Tyrell
highbrow (not lowbrow),87.6,14,17.8,285,Olenna Tyrell
narcissistic (not low self esteem),87.5,113,11.4,45,Olenna Tyrell
pointed (not random),87.4,105,12.9,31,Olenna Tyrell
assertive (not passive),87.4,146,18.1,265,Olenna Tyrell
ivory-tower (not blue-collar),87.2,59,19.7,253,Olenna Tyrell
rebellious (not obedient),87,222,17.5,259,Olenna Tyrell
enlightened (not lost),86.9,19,18.2,38,Olenna Tyrell
demanding (not unchallenging),86.9,221,22.9,34,Olenna Tyrell
vengeful (not forgiving),86.7,157,16.2,294,Olenna Tyrell
hard (not soft),86.6,99,16,257,Olenna Tyrell
suspicious (not awkward),86.6,47,13.9,253,Olenna Tyrell
family-first (not work-first),86.4,104,22,251,Olenna Tyrell
self-assured (not self-conscious),86.3,59,23.9,232,Olenna Tyrell
captain (not first-mate),86.3,179,21.8,255,Olenna Tyrell
opinionated (not neutral),86.3,327,23.2,27,Olenna Tyrell
conspiracist (not sheeple),85.9,74,17,206,Olenna Tyrell
calm (not anxious),85.7,31,19.5,268,Olenna Tyrell
emancipated (not enslaved),85.7,49,17.9,260,Olenna Tyrell
competitive (not cooperative),85.6,276,18.1,277,Olenna Tyrell
businesslike (not chivalrous),85.5,62,19,43,Olenna Tyrell
mighty (not puny),85.2,179,20.9,248,Olenna Tyrell
charismatic (not uninspiring),85.2,221,20.6,241,Olenna Tyrell
manicured (not scruffy),84.7,322,21.7,264,Olenna Tyrell
interesting (not tiresome),84.3,152,20.4,282,Olenna Tyrell
celebrity (not boy/girl-next-door),84.3,97,21.9,40,Olenna Tyrell
resistant (not resigned),83.9,66,23,275,Olenna Tyrell
armoured (not vulnerable),83.8,126,20,243,Olenna Tyrell
prestigious (not disreputable),83.8,113,20,193,Olenna Tyrell
cat person (not dog person),83.7,68,22.8,48,Olenna Tyrell
gamer (not non-gamer),83.6,61,24.6,26,Olenna Tyrell
logical (not emotional),83.6,79,19.5,251,Olenna Tyrell
hard (not soft),83.3,160,20,89,Olenna Tyrell
privileged (not oppressed),83.3,280,20.7,32,Olenna Tyrell
tactful (not indiscreet),83.2,58,27,44,Olenna Tyrell
playful (not shy),83,351,14.8,258,Olenna Tyrell
bourgeoisie (not proletariat),82.7,93,25.5,257,Olenna Tyrell
charming (not awkward),82.5,206,22,237,Olenna Tyrell
mature (not juvenile),82.5,211,22,102,Olenna Tyrell
intense (not lighthearted),82.5,338,18.9,25,Olenna Tyrell
overachiever (not underachiever),82.3,419,23.3,31,Olenna Tyrell
suspicious (not trusting),82.3,229,24.8,265,Olenna Tyrell
extraordinary (not mundane),82.3,272,21.3,278,Olenna Tyrell
high standards (not desperate),82.2,180,24.9,46,Olenna Tyrell
valedictorian (not drop out),82.1,383,24.6,47,Olenna Tyrell
sturdy (not flimsy),82.1,254,24.7,38,Olenna Tyrell
believable (not poorly-written),82.1,230,22.1,34,Olenna Tyrell
realist (not idealist),82.1,61,23.4,88,Olenna Tyrell
treasure (not trash),82.1,440,22.3,71,Olenna Tyrell
realistic (not fantastical),81.9,130,21.4,40,Olenna Tyrell
down2earth (not head@clouds),81.6,129,25,258,Olenna Tyrell
workaholic (not slacker),81.6,605,19.6,85,Olenna Tyrell
ferocious (not pacifist),81.4,290,21.5,271,Olenna Tyrell
neat (not messy),81.4,280,23.8,206,Olenna Tyrell
resolute (not wavering),81.3,192,24.1,55,Olenna Tyrell
skeptical (not spiritual),81.3,256,21.6,268,Olenna Tyrell
cool (not dorky),81.1,178,25.6,38,Olenna Tyrell
refined (not rugged),80.9,192,24.2,277,Olenna Tyrell
opinionated (not jealous),80.8,206,23.8,41,Olenna Tyrell
stylish (not slovenly),80.7,303,25.1,237,Olenna Tyrell
complicated (not simple),80.2,326,24.1,252,Olenna Tyrell
f***-the-police (not tattle-tale),80.2,397,28.6,36,Olenna Tyrell
cynical (not gullible),80.2,299,21.9,45,Olenna Tyrell
rhythmic (not stuttering),80.2,272,26.5,43,Olenna Tyrell
builder (not explorer),79.9,48,21.2,270,Olenna Tyrell
still (not twitchy),79.9,68,22,31,Olenna Tyrell
studious (not goof-off),79.8,484,23.9,46,Olenna Tyrell
quirky (not predictable),79.8,121,23.3,57,Olenna Tyrell
bookish (not sporty),79.8,470,23.4,208,Olenna Tyrell
mischievous (not well behaved),79.2,435,22.6,247,Olenna Tyrell
legit (not scrub),79.2,374,26.2,62,Olenna Tyrell
on-time (not tardy),78.8,515,24.4,46,Olenna Tyrell
frank (not sugarcoated),78.8,430,30.9,36,Olenna Tyrell
involved (not remote),78.8,259,24.8,249,Olenna Tyrell
hoarder (not unprepared),78.8,84,16.6,228,Olenna Tyrell
stoic (not hypochondriac),78.7,139,24.1,27,Olenna Tyrell
jaded (not innocent),78.6,401,22.1,50,Olenna Tyrell
feminist (not sexist),78.4,549,25.9,71,Olenna Tyrell
cunning (not honorable),78.3,218,24.2,286,Olenna Tyrell
cultured (not rustic),78.2,198,29,38,Olenna Tyrell
rational (not whimsical),78.1,285,24,242,Olenna Tyrell
charming (not trusting),78.1,168,22.9,247,Olenna Tyrell
cautious (not impulsive),78,190,22.4,235,Olenna Tyrell
direct (not roundabout),77.8,405,30.4,216,Olenna Tyrell
machiavellian (not transparent),77.6,192,27.4,40,Olenna Tyrell
neurotypical (not autistic),77.5,261,23.2,259,Olenna Tyrell
feisty (not gracious),77.5,420,25.5,228,Olenna Tyrell
judgemental (not accepting),77.3,306,26.1,192,Olenna Tyrell
deviant (not average),77.2,330,22.1,196,Olenna Tyrell
fighter (not lover),77.2,212,21.5,31,Olenna Tyrell
funny (not humorless),77.2,347,25.5,264,Olenna Tyrell
